Fri Nov 07 20:28:19 -0600 2014, Hevalt,[Hevalt's General Store],HevaltHevalte, a gold-leafed mistwood cabinet, a brilliant white sunstone crown, 50000 , 1
Fri Nov 07 20:28:19 -0600 2014, Hevalt,[Hevalt's General Store],HevaltHevalte, a gold-leafed mistwood cabinet, a coral and green garnet barrette, 10000000 , 1
Fri Nov 07 20:28:19 -0600 2014, Hevalt,[Hevalt's General Store],HevaltHevalte, a gold-leafed mistwood cabinet, an ora war mattock, 900000000 , 1
Fri Nov 07 20:28:32 -0600 2014, Hevalt,[Hevalt's General Store],HevaltHevalte, a bamboo rack, an ora war mattock, 900000000 , 1
Fri Nov 07 20:28:32 -0600 2014, Hevalt,[Hevalt's General Store],HevaltHevalte, a bamboo rack, a coral and green garnet barrette, 10000000 , 1
Fri Nov 07 20:28:32 -0600 2014, Hevalt,[Hevalt's General Store],HevaltHevalte, a bamboo rack, a brilliant white sunstone crown, 50000 , 1
Thu Nov 13 20:15:04 -0600 2014, Hevalt,[Hevalt's Weaponry],HevaltHevaltw, a gold-leafed mistwood cabinet, an agate-inset ora ring, 1500000 , 1
Fri Dec 05 20:37:03 -0600 2014, Dgry,[Dgry's Magic Shoppe],DgryphonDgryewout, a gold-leafed mistwood cabinet, a dirtokh potion, 4000 , 35
Fri Dec 05 20:37:03 -0600 2014, Dgry,[Dgry's Magic Shoppe],DgryphonDgryewout, a gold-leafed mistwood cabinet, a crystalline flask containing a gold-flecked clear potion, 15000 , 50
Fri Dec 05 20:37:36 -0600 2014, Dgry,[Dgry's Outfitting],DgryphonDgrye, a gold-leafed mistwood cabinet, some glowing violet essence dust, 5000 , 8
Fri Dec 05 20:37:36 -0600 2014, Dgry,[Dgry's Outfitting],DgryphonDgrye, a gold-leafed mistwood cabinet, a glowing violet mote of essence, 5000 , 47
Fri Dec 05 20:42:19 -0600 2014, Hevalt,[Hevalt's Armory],HevaltHevalte, a gold-leafed mistwood cabinet, some embossed light leather, 50000 , 1
Fri Dec 05 20:42:19 -0600 2014, Hevalt,[Hevalt's Armory],HevaltHevalte, a gold-leafed mistwood cabinet, some rolaren brigandine armor, 100000 , 1
Tue Jan 27 20:41:22 -0600 2015, Hevalt,[Hevalt's Magic Shoppe],HevaltHevaltewout, a vine-carved mahogany table, an inlaid vultite quoit, 200000 , 1
Tue Jan 27 20:41:33 -0600 2015, Hevalt,[Hevalt's Weaponry],HevaltHevaltw, a gold-leafed mistwood cabinet, some imflass brigandine armor, 150000 , 1
Tue Jan 27 20:41:33 -0600 2015, Hevalt,[Hevalt's Weaponry],HevaltHevaltw, a gold-leafed mistwood cabinet, some blackened vultite chain mail, 250000 , 1
Sat May 09 11:24:57 -0500 2015, Hevalt,[Hevalt's Magic Shoppe],HevaltHevaltewout, a bamboo rack, a golden-veined white mithril greatsword, 300000 , 1
Sat May 09 11:25:06 -0500 2015, Hevalt,[Hevalt's Weaponry],HevaltHevaltw, a gold-leafed mistwood cabinet, a bone-pommeled vultite longsword, 150000 , 1
Sat May 09 11:25:06 -0500 2015, Hevalt,[Hevalt's Weaponry],HevaltHevaltw, a gold-leafed mistwood cabinet, a ruby-handled glaes battle axe, 150000 , 1
Sat May 09 11:25:26 -0500 2015, Dgry,[Dgry's Magic Shoppe],HevaltDgryewout, a gold-leafed mistwood cabinet, a blood-stained butcher's cleaver, 250000 , 1
Fri Jul 31 16:36:46 -0500 2015, Hevalt,[Hevalt's Magic Shoppe],DgryphonHevaltewout, a vine-carved mahogany table, a crystalline flask containing a silvery potion, 500 , 42
Fri Jul 31 16:36:46 -0500 2015, Hevalt,[Hevalt's Magic Shoppe],DgryphonHevaltewout, a vine-carved mahogany table, a minor mana-well potion, 35000 , 3
Fri Jul 31 16:36:46 -0500 2015, Hevalt,[Hevalt's Magic Shoppe],DgryphonHevaltewout, a vine-carved mahogany table, a lesser mana regeneration potion, 35000 , 1
Fri Jul 31 16:36:46 -0500 2015, Hevalt,[Hevalt's Magic Shoppe],DgryphonHevaltewout, a vine-carved mahogany table, an ayveneh potion, 300000 , 2
Fri Jul 31 16:37:15 -0500 2015, Dgry,[Dgry's Magic Shoppe],DgryphonDgryewout, a gold-leafed mistwood cabinet, a lesser mana-well potion, 35000 , 13
Fri Jul 31 16:37:15 -0500 2015, Dgry,[Dgry's Magic Shoppe],DgryphonDgryewout, a gold-leafed mistwood cabinet, a dirtokh potion, 4000 , 34
Fri Jul 31 16:37:15 -0500 2015, Dgry,[Dgry's Magic Shoppe],DgryphonDgryewout, a gold-leafed mistwood cabinet, a lesser mana regeneration potion, 35000 , 12
Fri Jul 31 16:37:15 -0500 2015, Dgry,[Dgry's Magic Shoppe],DgryphonDgryewout, a long mistwood counter, a crystalline flask containing a dark murky potion, 3000 , 10
Sat Sep 05 12:48:51 -0500 2015, Hevalt,[Hevalt's Magic Shoppe],HevaltHevaltewout, a vine-carved mahogany table, a spine-spiked yellowed bone falchion, 250000 , 1
Sat Sep 05 12:48:51 -0500 2015, Hevalt,[Hevalt's Magic Shoppe],HevaltHevaltewout, a bamboo rack, a walnut-hafted vultite morning star, 1000000 , 1
Sat Sep 05 12:49:28 -0500 2015, Hevalt,[Hevalt's Weaponry],HevaltHevaltw, a gold-leafed mistwood cabinet, some tooled dark brown full leather, 500000 , 1
Tue Oct 13 21:09:55 -0500 2015, Hevalt,[Hevalt's Magic Shoppe],HevaltHevaltewout, a vine-carved mahogany table, an engraved ora earring, 500000 , 1
Sat Oct 17 12:09:21 -0500 2015, Hevalt,[Hevalt's Weaponry],HevaltHevaltw, a gold-leafed mistwood cabinet, a leather-bound thick rowan runestaff, 400000 , 2
Sat Oct 17 12:11:14 -0500 2015, Hevalt,[Hevalt's Weaponry],HevaltHevaltw, a gold-leafed mistwood cabinet, a pale silvery ruic longbow, 500000 , 1
Sat Oct 17 12:11:56 -0500 2015, Hevalt,[Hevalt's Weaponry],HevaltHevaltw, a gold-leafed mistwood cabinet, a faenor-inlaid white mithglin breastplate, 2000000 , 1
Fri Nov 27 14:04:00 -0600 2015, Hevalt,[Hevalt's Weaponry],HevaltHevaltw, a gold-leafed mistwood cabinet, a glyph-etched gold alloy talisman, 2000000 , 1
Sat Dec 12 15:40:55 -0600 2015, Hevalt,[Hevalt's Magic Shoppe],HevaltHevaltewout, a bamboo rack, a rowan-hafted rolaren-studded maul, 35000 , 1
Sun Mar 13 12:56:33 -0500 2016, Hevalt,[Hevalt's Weaponry],HevaltHevaltw, a gold-leafed mistwood cabinet, a leather-bound thick rowan runestaff, 400000 , 1
